id|alimento|calorias|carbohidratos|proteinas|lipidos
255|alcachofa congelada|37.8|3.9|2.63|0.43
256|espinaca congelada|32.6|1.23|3.13|1
257|guisante congelado|74|9.51|6|0.4
258|judia verde congelada|36.4|3.6|1.88|0.9
259|menestra congelada|63.7|9.46|3.3|0.52
260|acelga en conserva|19.7|2.3|1.8|0.08
261|alcachofa en conserva|36.6|1.2|2.9|0.16
262|apio en conserva|11.9|0.8|0.5|0.3
263|cardo en conserva|17|2.4|0.76|0.11
264|esparrago de lata|18.79|1.5|1.88|0.31
265|espinaca en conserva|20.68|0.52|3.12|0.4
266|guisante en conserva|88.9|12.4|5.3|0.9
267|judia verde en conserva|15.1|1.63|1.19|0.1
268|palmito en conserva|43.2|8|2.8|0
269|pimiento morron en conserva|32.2|5.2|1.19|0.4
270|puerro en conserva|31.7|3.8|1.2|0.7
271|tomate pelado enlatado|18.23|2.6|1.19|0.19
272|tomate frito en conserva|87.6|5.2|1.5|6.4
273|tomate triturado|38.1|5.55|2.3|0.5
274|menestra en conserva|48.2|8.5|2|0.32
275|zumo de tomate natural|16.69|2.96|0.76|0.05
276|zumo de zanahoria natural|23.91|4.75|0.63|0.15
277|nabo|31.6|4.66|1|0.22
278|patata nueva|73.59|14.8|2.34|0.11
279|rabano|17.26|2.13|1.06|0.14
280|remolacha|46.1|8.38|1.56|0.1
281|zanahoria|39.4|6.9|1.25|0.2
282|tapioca|345|84.9|0.58|0.2
283|zanahoria en conserva|26.8|4.2|0.8|0.2
284|remolacha en conserva|43.9|7.6|2.3|0.1
285|champiñon|33.56|0.54|4.25|1.2
286|niscalo|23.8|0.2|1.6|0.8
287|champiñon en conserva|21.38|0.07|3.38|0.5
288|aguacate|233|0.4|1.88|23.5
289|albaricoque|41.38|8.54|0.88|0.1
290|caqui|74.22|16|0.63|0.3
291|arandano|41.68|6.05|0.63|0.6
292|cereza|62.11|13.3|0.88|0.31
293|chirimoya|72.5|14.1|1.25|0.7
294|coco fresco|384|4.78|4.63|36.5
295|ciruela|48.1|10.2|0.63|0.17
296|frambuesa|36.9|4.87|1.31|0.3
297|fresa y freson|32.24|5.51|0.81|0.4
298|granada|77.16|16.1|0.69|0.6
299|grosella negra|45.18|6.11|1.31|0.22
300|guayaba|41.58|5.82|0.88|0.5
301|higo|65.4|12.9|1.31|0.5
302|kiwi|51.8|9.12|1|0.8
303|lima|17|1.9|0.5|0.2
304|limon|27.66|3.16|0.69|0.3
305|litchi|76.7|16.8|0.9|0.3
306|mandarina|44.7|9.2|0.63|0.2
307|mango|61.13|12.8|0.63|0.45
308|manzana|54.08|11.4|0.31|0.36
309|maracuya|54|9.54|2.38|0.4
310|melocoton|50.8|10.3|1|0.2
311|melon|55.44|12.4|0.88|0.1
312|membrillo|47.26|7.32|0.44|0.5
313|mora|45|6.24|1.19|1
314|naranja|45.48|8.9|0.87|0.2
315|nectarina|49.7|10.2|0.9|0.1
316|nispero|42.6|8.58|0.56|0.2
317|papaya|35.01|7.1|0.5|0.09
318|pera|49.42|10.6|0.43|0.1
319|piña|50.76|10.4|0.44|0.4
320|platano|95.03|20.8|1.06|0.27
321|pomelo|36.63|7.41|0.63|0.15
322|sandia|28.4|5.6|0.63|0.3
323|uva blanca|70.3|16.1|0.72|0.16
324|uva negra|67.1|15.5|0.72|0.16
325|grosella roja|32.4|4.78|1.13|0.2
326|ciruela seca|218.68|42.4|2.18|0.52
327|higo seco|272.3|55.1|3.61|1.3
328|melocoton seco (orejones)|257.24|53.2|3|0.76
329|datil|289.45|65.1|1.88|0.45
330|pasa|309|69.3|2.46|0.5
331|coco rallado|633|6.4|5.6|62
332|albaricoque seco (orejones)|283|62.64|3.39|0.51
333|almendra sin cascara|610|5.36|18.71|54.1
334|almendra frita salada sin cascara|621|4.5|19|55.17
335|almendra tostada sin cascara|621|6.6|22.9|52.93
336|anacardo|577.6|30.5|17.5|42.2
337|avellana sin cascara|661|10.5|12.01|61.6
338|cacahuete sin cascara|563|7.91|25.23|46
339|cacahuete frito salado sin cascara|627|8.9|24.5|53
340|cacahuete tostado y salado sin cascara|613|13.51|23.89|49.66
341|castaña|190|36.5|2.65|2.2
342|castaña asada|237|39.7|4|5.3
343|nuez sin cascara|649|4.4|14.42|62.5
344|piñon sin cascara|706|3.9|14|68.6
345|pipa de girasol sin sal|569|12.3|19.8|47.5
346|pipa de girasol pelada con sal|640|9.1|17.25|56.8
347|pipa de girasol pelada sin sal|640|9.14|17.25|56.8
348|pistacho|603|11.6|17.65|51.6
349|pistacho tostado salado|614|12.6|18|52.7
350|mermelada de fresa|255.04|62.6|0.31|0.2
351|mermelada de fresa baja en calorias|33|6.4|0.7|0
352|mermelada de albaricoque y melocoton|258.28|63.2|0.32|0.2
353|mermelada de albaricoque y melocoton baja en calorias|34.8|6.6|0.7|0
354|mermelada de ciruela|250.51|59.6|0.31|0.63
355|mermelada de frambuesa|250.5|60.9|0.45|0.3
356|mermelada de naranja|256.28|63.6|0.38|0
357|dulce de membrillo y pastas de frutas|259.2|62.2|1|0
358|macedonia de frutas en almibar|68.6|15.8|0.62|0.1
359|macedonia de frutas en su jugo|53.5|12.1|0.7|0.03
360|melocoton en almibar|58.59|14.2|0.38|0.03
361|pera en almibar|69.3|16.1|0.25|0.1
362|piña en almibar|65.71|15.4|0.38|0.11
363|piña en su jugo|42.89|9.71|0.4|0.1
364|crema de almendra|377|59.7|4.6|13.2
365|crema de cacahuete|609|11.2|30.09|47.8
366|zumo de naranja|43.56|9.4|0.69|0.2
367|leche de vaca entera|65.4|4.7|3.06|3.8
368|leche de vaca semidesnatada|47.6|4.8|3.5|1.6
369|leche de vaca desnatada|37|4.9|3.89|0.2
370|leche en polvo entera|477|35.1|25.21|26.2
371|leche en polvo semidesnatada|442|43.9|29.8|16.3
372|leche en polvo desnatada|351.76|50.38|36.1|0.64
373|leche evaporada entera|151|8.09|8.4|9.4
374|leche concentrada|131.6|9.32|6.5|7.57
375|leche condensada azucarada|336|52.84|8.51|10.1
376|leche condensada desnatada con azucar|282|60|10|0.2
377|leche de cabra|66.7|4.2|3.7|3.92
378|leche de oveja|96.7|4.7|5.29|6.26
379|leche materna calostro|53.1|4.87|2.55|2.6
380|leche materna madura|68.4|7|1.15|4.03
381|leche materna transicional|66.3|6.6|1.66|3.7
382|yogur natural entero|61.4|5.5|3.96|2.6
383|yogur entero natural azucarado|85.9|13.7|3.5|1.9
384|yogur entero de sabores|114|15.6|5.36|3.4
385|yogur entero con fruta|95|14.3|3.83|2.3
386|yogur desnatado natural|44.88|6.3|4.25|0.32
387|yogur desnatado natural azucar|75.9|13.8|4.5|0.3
388|yogur desnatado de sabores|90.3|16.73|3.8|0.9
389|yogur desnatado con fruta|71.7|13.1|3.83|0.2
390|yogur griego|139|5.39|6.4|10.2
391|yogur liquido natural azucarado|69.2|11.6|3|1.2
392|yogur liquido de sabores|75.4|12.8|2.9|1.4
393|yogur liquido con pulpa de fruta|81.9|14.3|2.8|1.5
394|leche fermentada tipo bio natural|62.6|4.4|3.6|3.4
395|leche fermentada tipo bio desnatado natural|44.3|5.5|4.9|0.3
396|leche fermentada tipo bio con frutas|87.3|14|4|1.7
397|leche fermentada tipo bio desnatado con frutas|44.6|6.4|4.7|0.02
398|leche fermentada con lactobacillus casei|98.1|14.1|3|3.3
399|leche fermentada con lactobacillus acidophilus|98.5|14.1|3.1|3.3
400|queso azul|352.6|0|21.13|29.8
401|queso brie|341.9|0.1|22.61|27.9
402|maiz en grano hervido en lata|102.3|18.2|3.32|1.28
403|salvado de trigo|273|21.72|15.55|4.25
404|semola de trigo|351|69|12.68|1.05
405|mijo|356|64.4|11.01|4.2
406|cereales de desayuno con base de arroz|388|86|7|1.5
407|cereales de desayuno con base de arroz y chocolate|388|85|5|2.5
