id|alimento|calorias|carbohidratos|proteinas|lipidos
674|arroz blanco de coccion rapida|349|78.2|6.9|0.6
675|arroz integral|350|74.1|7.25|2.2
676|avena|353|55.7|11.72|7.09
677|fecula de maiz|356|88|0.41|0.08
678|fortimel|100.1|10.3|10|2.1
679|ensure fibra|105.4|16.2|3.75|2.5
680|meritene fibra|115.7|11.8|7.8|3.7
681|nutrison|103.2|11.3|4.3|4.2
682|pentadrink|150|18|5|6.5
683|promote|100|13|6.26|2.6
684|meritene diabetico|92.8|13|7.8|1.04
685|glucema sr|220|26|10.7|7.8
686|germen de trigo|355|30.6|28.6|9.2
687|harina de maiz|343|66.3|8.29|2.82
688|cereales de desayuno con base de trigo y chocolate|388|81|8|2.5
689|cereales de desayuno variados con miel|379|80.8|5.5|3
690|pulmon de ternera|87.3|0|16.2|2.5
691|borraja|25.7|3.06|1.8|0.7
692|harina de trigo|341|70.6|9.86|1.2
693|pulmon de cerdo|80.8|0|14.08|2.72
694|pulmon de cordero|90.2|0|16.7|2.6
695|arroz|364|81.6|6.67|0.9
696|cereales de desayuno con base de avena integral tostada y miel|390|75.4|8.6|4.9
697|cereales de desayuno variados integrales con miel|382|77|8|3.07
698|cereales de desayuno con base de trigo y frutas|356|67|10|2.04
699|cereales de desayuno salvado de trigo completo|326|45|13|4
700|cereales de desayuno de trigo integral relleno de pasas|348|69|9|2
701|harina integral de trigo|322|58.28|12.7|2.2
702|rosada|70.5|0|16.5|0.5
703|bizcocho de fruta y fibra|365|58|4.5|13
704|berberecho en conserva|79.3|1.5|17.43|0.4
705|calamar en su tinta|119|6.3|13.3|4.3
706|navaja en conserva|89.2|0.05|20|1
707|pan de perrito|271|47.5|7.54|4.7
708|colines|262|46|6.84|4.4
709|gulas salteadas en conserva|257|7.7|8.9|21.2
710|sardinilla en aceite|218|0|23.93|13.6
711|fuet|438|1.4|19.25|39.5
712|aceituna rellena de pimiento|151|2.9|1.4|14.9
713|aceituna rellena de anchoa|134|3.3|1.3|12.3
714|pimiento rojo asado en conserva|32.2|5.2|1.19|0.4
715|pimiento del piquillo en conserva|32.2|5.2|1.19|0.4
716|tortita de arroz integral|373|77.5|8.6|3.2
717|tortita de arroz hacendado|356|75|8.5|3.5
718|cocido madrileño litoral|139|10.4|6.9|7.8
719|cafe capuccino en polvo soluble|388|60.8|10.6|11.4
720|gazpacho solfruit|84.2|3.9|1.4|7
721|picatostes|438|67|11|14
722|leche semidesnatada con calcio|53|5.8|3.94|1.6
723|cereales de desayuno a base de trigo integral con avellanas y almendras|354|65|10|6
724|barrita de fibra y chocolate|376|51|7|16
725|cereales de desayuno con base de arroz y trigo integral|375|74|16|1
726|cereales de desayuno con base de arroz, trigo integral, frutas rojas|368|74|14|1
727|cereales de desayuno con base de avena|348|54.38|13.8|7.15
728|muesli|395|61|9|11
729|pan blanco|261|51.5|8.47|1.6
730|bollo tipo donut de chocolate celiaco|173|30.32|1.05|15.5
731|pechuga de pavo embutido|81.25|3.65|15.2|0.65
732|semillas de sesamo|573|23.45|17.73|49.67
733|cazon|82|0|18.7|0.9
